smer;cyklus;cilovy_azimut;skutecne_natoceni;jump_deg;trim;xA;yA;tA;axA;ayA;xC;yC;tC;axC;ayC
CW;440;157.5;157.50;67.50;50;-0.36095000;0.64394984;23.30;0.034106;0.025266;-0.36725016;0.63459990;23.35;0.067136;-0.032063
CW;441;225;225.00;67.50;50;-0.35164988;0.63954976;23.39;0.070996;0.022126;-0.36264992;0.64754984;23.31;0.030835;-0.029968
CW;442;0;360.00;135.00;50;-0.36385004;0.64280000;23.34;0.055273;-0.036982;-0.35185008;0.63009990;23.33;0.048437;0.029136
CW;443;112.5;112.50;112.50;50;-0.36189992;0.64309996;23.39;0.018474;0.004993;-0.37325004;0.63704990;23.35;0.082878;-0.012449
CCW;444;315;-45.00;-157.50;50;-0.35950004;0.63500000;23.44;0.076235;-0.024309;-0.35434980;0.64169976;23.46;0.023718;0.016714
CCW;445;157.5;-202.50;-157.50;50;-0.34129984;0.63049990;23.45;0.033025;0.024707;-0.36960012;0.64219990;23.42;0.067478;-0.033000
CCW;446;90;-270.00;-67.50;50;-0.35864996;0.65089980;23.43;0.017441;-0.008040;-0.37160016;0.63824990;23.38;0.084431;0.000132
CCW;447;315;-45.00;-45.00;50;-0.36255004;0.63109992;23.30;0.077371;-0.023672;-0.35174996;0.65849996;23.36;0.025042;0.016638
CW;448;112.5;112.50;157.50;50;-0.34754990;0.64969990;23.34;0.019705;0.005254;-0.36325016;0.63580000;23.35;0.083008;-0.012117
CCW;449;315;-45.00;-157.50;50;-0.36069990;0.64019996;23.32;0.077068;-0.024031;-0.36154996;0.64450000;23.34;0.023699;0.017146
CW;450;112.5;112.50;157.50;50;-0.35819996;0.65094970;23.30;0.018694;0.005161;-0.36114996;0.63174990;23.31;0.083494;-0.012571
CW;451;225;225.00;112.50;50;-0.35509984;0.62994990;23.35;0.070120;0.022566;-0.36485012;0.65424980;23.33;0.029712;-0.030222
CW;452;292.5;292.50;67.50;50;-0.36155004;0.64259990;23.44;0.082087;-0.011704;-0.35385000;0.63700000;23.40;0.019060;0.004692
CW;453;0;360.00;67.50;50;-0.36094990;0.65444976;23.32;0.055576;-0.036465;-0.36054992;0.63544976;23.35;0.047756;0.029360
CCW;454;247.5;247.50;-112.50;50;-0.36064988;0.65655000;23.34;0.078713;0.012808;-0.36695020;0.65364990;23.32;0.021042;-0.020623
CW;455;22.5;382.50;135.00;50;-0.36025012;0.64270020;23.30;0.041211;-0.035798;-0.36190016;0.65614976;23.33;0.062478;0.028569
CCW;456;202.5;202.50;-180.00;50;-0.36295008;0.64754984;23.32;0.058921;0.028362;-0.36215000;0.64144984;23.30;0.042957;-0.035786
CCW;457;67.5;67.50;-135.00;50;-0.36270004;0.64919970;23.31;0.022480;-0.020649;-0.36795008;0.64164996;23.34;0.079695;0.013357
CW;458;202.5;202.50;135.00;50;-0.36710020;0.63910000;23.34;0.057922;0.028315;-0.36234996;0.64524996;23.34;0.042537;-0.036055
CW;459;292.5;292.50;90.00;50;-0.35629990;0.64344984;23.43;0.083071;-0.012588;-0.36500012;0.64045000;23.33;0.019875;0.005291
CW;460;22.5;382.50;90.00;50;-0.35319992;0.64285000;23.39;0.042319;-0.036106;-0.35585004;0.64949984;23.31;0.063167;0.028496
CW;461;67.5;67.50;67.50;50;-0.36885016;0.63844984;23.32;0.022769;-0.020906;-0.36945016;0.63174984;23.30;0.079863;0.013667
CCW;462;22.5;22.50;-45.00;50;-0.37389990;0.64739990;23.30;0.041555;-0.036116;-0.34875000;0.65435000;23.33;0.060127;0.027908
CCW;463;315;-45.00;-67.50;50;-0.36225004;0.64629990;23.30;0.076282;-0.024077;-0.36189992;0.64759990;23.31;0.024646;0.016147
CCW;464;202.5;-157.50;-112.50;50;-0.36595016;0.64509990;23.30;0.057942;0.028181;-0.36384992;0.64379970;23.30;0.042786;-0.036306
CCW;465;112.5;-247.50;-90.00;50;-0.36215000;0.64449970;23.23;0.018440;0.004355;-0.36630008;0.63554996;23.24;0.082678;-0.012017
CCW;466;45;-315.00;-67.50;50;-0.35214988;0.63899990;23.21;0.029570;-0.030674;-0.35819992;0.64419996;23.25;0.069978;0.022578
CW;467;90;-270.00;45.00;50;-0.36390004;0.65284980;23.20;0.017585;-0.008672;-0.36834992;0.64790000;23.23;0.083689;0.000857
CW;468;90;-270.00;0.00;50;-0.36214996;0.65619990;23.18;0.016387;-0.008562;-0.36745016;0.63714976;23.15;0.085095;0.001145
CCW;469;292.5;-67.50;-67.50;50;-0.36690016;0.65384996;23.11;0.084067;-0.012258;-0.35584980;0.66360016;23.14;0.020083;0.005447
CW;470;45;45.00;112.50;50;-0.37000024;0.65379990;23.13;0.030024;-0.030000;-0.37125024;0.65059990;23.11;0.071682;0.023027
CW;471;45;45.00;0.00;50;-0.36205004;0.65209984;23.04;0.031133;-0.030510;-0.36525008;0.66430010;23.06;0.071948;0.023040
CW;472;90;90.00;45.00;50;-0.36470000;0.65880008;23.06;0.017502;-0.008020;-0.36044996;0.64804996;23.10;0.083938;0.001235
CW;473;202.5;202.50;112.50;50;-0.36145016;0.66059990;23.04;0.059993;0.028462;-0.37380012;0.65779996;23.02;0.043333;-0.035996
CCW;474;67.5;67.50;-135.00;50;-0.37360016;0.67100010;23.06;0.022642;-0.020779;-0.37085020;0.65550008;23.05;0.078477;0.013147
CW;475;202.5;202.50;135.00;50;-0.36685016;0.66210010;23.06;0.060347;0.028386;-0.36740020;0.65619980;23.00;0.043333;-0.035769
CCW;476;22.5;22.50;-180.00;50;-0.35910000;0.65629990;23.01;0.042632;-0.036189;-0.37310010;0.66000010;23.05;0.058708;0.028828
CW;477;67.5;67.50;45.00;50;-0.36730012;0.65789990;23.11;0.022136;-0.020288;-0.35984996;0.64799992;23.13;0.080349;0.013416
CW;478;67.5;67.50;0.00;50;-0.36455008;0.67700010;23.15;0.022480;-0.020134;-0.35880000;0.64105004;23.11;0.079238;0.012957
CCW;479;0;0.00;-67.50;50;-0.37105012;0.66800004;23.09;0.055327;-0.036614;-0.36115004;0.66015020;23.15;0.047212;0.029211
CW;480;90;90.00;90.00;50;-0.35890000;0.65524980;23.18;0.017854;-0.008245;-0.36880020;0.64744984;23.20;0.084053;0.000945
