smer;cyklus;cilovy_azimut;skutecne_natoceni;jump_deg;trim;xA;yA;axA;ayA;xC;yC;axC;ayC
CCW;185;135;135.00;22.50;50;-0.27534992;0.56780004;0.026714;0.016863;-0.27774996;0.57885010;0.068755;-0.026196
CCW;186;247.5;247.50;112.50;50;-0.26445004;0.58090000;0.036406;-0.033562;-0.26630008;0.55915010;0.059180;0.024053
CCW;187;22.5;382.50;135.00;50;-0.26809996;0.57705004;0.075283;0.007493;-0.26840000;0.57675000;0.020381;-0.017185
CCW;188;292.5;292.50;-90.00;50;-0.26494998;0.55779980;0.060400;-0.033169;-0.26470008;0.56045010;0.036382;0.023472
CCW;189;90;90.00;90.00;50;-0.25510000;0.56830008;0.046216;0.026042;-0.26085004;0.57110000;0.047852;-0.035457
CCW;190;0;0.00;-90.00;50;-0.26659990;0.55900024;0.080334;-0.004045;-0.25895010;0.55855020;0.017515;-0.005886
CCW;191;67.5;67.50;67.50;50;-0.26365006;0.55765000;0.059539;0.023823;-0.26615006;0.57180030;0.037397;-0.033403
CCW;192;157.5;157.50;90.00;50;-0.26419994;0.56624990;0.019678;0.006392;-0.27265000;0.57925004;0.075332;-0.015867
CCW;193;337.5;-22.50;-180.00;50;-0.26485002;0.56110010;0.077014;-0.016086;-0.26505002;0.56630004;0.019551;0.006428
CCW;194;270;-90.00;-67.50;50;-0.27664996;0.56710020;0.049338;-0.035393;-0.26820004;0.56465008;0.047283;0.025691
CCW;195;90;-270.00;-180.00;50;-0.25164998;0.55889992;0.048992;0.025715;-0.27344992;0.56095010;0.048623;-0.035300
CCW;196;315;-45.00;-45.00;50;-0.27565000;0.57530000;0.070552;-0.025662;-0.26590000;0.55980016;0.025918;0.015754
CCW;197;112.5;112.50;157.50;50;-0.26795000;0.57030016;0.035706;0.023818;-0.26860002;0.56850004;0.060447;-0.032742
CCW;198;202.5;202.50;90.00;50;-0.25504996;0.56845004;0.019849;-0.017434;-0.27895004;0.55869996;0.074785;0.007219
CCW;199;247.5;247.50;45.00;50;-0.26440010;0.56159996;0.037183;-0.033174;-0.26405012;0.55969996;0.058145;0.023967
CCW;200;45;45.00;45.00;50;-0.27734998;0.55904996;0.069377;0.017524;-0.27249996;0.55965000;0.026362;-0.027046
CCW;201;157.5;157.50;112.50;50;-0.25515008;0.56125004;0.019036;0.006360;-0.27889990;0.56500024;0.076138;-0.016055
CCW;202;135;135.00;-22.50;50;-0.25955006;0.56760010;0.025662;0.016992;-0.26815000;0.56935010;0.069119;-0.026255
