smer;cyklus;cilovy_azimut;skutecne_natoceni;jump_deg;trim;xA;yA;tA;axA;ayA;xC;yC;tC;axC;ayC
CW;59;202.5;-157.50;112.50;50;-0.42499996;0.66945020;23.50;0.046841;0.002820;-0.42994988;0.65519992;23.50;0.035835;0.009373
CCW;60;67.5;-292.50;-135.00;50;-0.42639990;0.68679992;23.50;0.039517;0.011670;-0.43385000;0.67295000;23.49;0.043086;-0.000237
CCW;61;0;-360.00;-67.50;50;-0.43545004;0.67590000;23.50;0.036328;0.007092;-0.43750000;0.66765004;23.39;0.047344;0.005654
CW;62;112.5;-247.50;112.50;50;-0.42444996;0.67760016;23.46;0.043726;0.012009;-0.43850000;0.66650010;23.50;0.038723;0.001177
CW;63;202.5;-157.50;90.00;50;-0.42434990;0.67750024;23.44;0.046338;0.003254;-0.43465004;0.67030000;23.45;0.037532;0.008792
CW;64;0;0.00;157.50;50;-0.42960012;0.66774992;23.38;0.035833;0.006521;-0.42679980;0.67480030;23.41;0.047524;0.005369
CW;65;157.5;157.50;157.50;50;-0.42480000;0.67525020;23.42;0.046807;0.007554;-0.43340012;0.66985020;23.43;0.037344;0.004192
CCW;66;90;90.00;-67.50;50;-0.42894990;0.67980020;23.38;0.042942;0.012161;-0.43280000;0.67390010;23.38;0.041306;0.000200
CCW;67;270;-90.00;-180.00;50;-0.42970000;0.66455000;23.46;0.040676;0.000027;-0.42165004;0.68030010;23.43;0.043628;0.012104
CCW;68;202.5;-157.50;-67.50;50;-0.41965010;0.68050000;23.47;0.046697;0.003503;-0.43385000;0.67835010;23.47;0.037048;0.008745
CCW;69;22.5;-337.50;-180.00;50;-0.43350000;0.67835016;23.50;0.035972;0.009924;-0.42095004;0.67910020;23.50;0.046724;0.003059
CCW;70;337.5;-382.50;-45.00;50;-0.44040004;0.66744996;23.50;0.035051;0.005176;-0.44304996;0.67415000;23.50;0.046519;0.007615
CCW;71;270;-90.00;-90.00;50;-0.43090004;0.66379990;23.50;0.040962;-0.000449;-0.43445004;0.66615000;23.49;0.042302;0.011892
CW;72;337.5;-22.50;67.50;50;-0.43004992;0.66499984;23.50;0.035605;0.004375;-0.43894992;0.67250000;23.50;0.046982;0.007395
CCW;73;225;-135.00;-112.50;50;-0.42780004;0.66760010;23.50;0.045378;0.000718;-0.44450016;0.67145016;23.49;0.039497;0.010847
CW;74;292.5;-67.50;67.50;50;-0.43325000;0.65754980;23.50;0.039114;0.000745;-0.42835004;0.68110000;23.50;0.044829;0.010879
CCW;75;270;-90.00;-22.50;50;-0.43785000;0.66534990;23.52;0.039946;0.000071;-0.43009992;0.68335010;23.54;0.043003;0.011270
CW;76;45;45.00;135.00;50;-0.42985000;0.66474990;23.50;0.039041;0.010793;-0.42135004;0.66225000;23.50;0.046123;0.000544
CW;77;90;90.00;45.00;50;-0.43470004;0.66460016;23.49;0.043750;0.011372;-0.42834990;0.65659992;23.50;0.042546;-0.000720
CCW;78;270;-90.00;-180.00;50;-0.43249990;0.65684980;23.48;0.040747;-0.000071;-0.42375010;0.66330004;23.50;0.042834;0.011614
CCW;79;202.5;-157.50;-67.50;50;-0.43265004;0.67065020;23.50;0.045984;0.002522;-0.42519988;0.66799984;23.50;0.036587;0.008875
CW;80;0;0.00;157.50;50;-0.42824992;0.66565000;23.50;0.035720;0.006631;-0.42034996;0.67015016;23.50;0.048042;0.004668
CW;81;135;135.00;135.00;50;-0.42465000;0.67035020;23.50;0.048110;0.007991;-0.43114990;0.66295004;23.50;0.037766;0.001443
CW;82;247.5;247.50;112.50;50;-0.43300012;0.65664980;23.50;0.043079;0.000264;-0.43565000;0.67160000;23.50;0.042375;0.011106
CW;83;247.5;247.50;0.00;50;-0.43219990;0.67565010;23.55;0.044150;-0.000522;-0.43610000;0.66364990;23.50;0.043132;0.010564
CW;84;22.5;382.50;135.00;50;-0.44124996;0.66865016;23.50;0.037639;0.008174;-0.43189992;0.65485000;23.50;0.046199;0.002664
CW;85;67.5;67.50;67.50;50;-0.43090004;0.67170010;23.50;0.041003;0.011472;-0.42204992;0.65669990;23.55;0.044038;-0.000024
CCW;86;45;45.00;-22.50;50;-0.44099996;0.66995000;23.52;0.038545;0.010667;-0.42890000;0.66215016;23.54;0.045488;0.001226
CW;87;112.5;112.50;67.50;50;-0.41464988;0.65804976;23.58;0.044880;0.011079;-0.43290000;0.65875000;23.59;0.041594;0.000173
CW;88;225;225.00;112.50;50;-0.43809990;0.65124976;23.62;0.045771;0.000244;-0.42900000;0.67325016;23.62;0.042166;0.010515
CW;89;247.5;247.50;22.50;50;-0.43410004;0.65789980;23.60;0.042617;-0.000198;-0.43665000;0.65624976;23.65;0.042131;0.011204
CCW;90;67.5;67.50;-180.00;50;-0.44265000;0.66000000;23.66;0.040183;0.011367;-0.42620004;0.65264992;23.61;0.043196;-0.000178
CCW;91;247.5;-112.50;-180.00;50;-0.41989984;0.65344980;23.72;0.043357;-0.000193;-0.43380000;0.66095000;23.67;0.040498;0.011174
CCW;92;180;-180.00;-67.50;50;-0.41680004;0.65509984;23.64;0.049224;0.004639;-0.43405010;0.65369990;23.63;0.035652;0.007146
CCW;93;22.5;-337.50;-157.50;50;-0.42345008;0.65064984;23.63;0.035647;0.009287;-0.42705000;0.66705010;23.58;0.046895;0.002581
CCW;94;270;-90.00;-90.00;50;-0.43324992;0.65344984;23.65;0.040217;-0.000422;-0.43284984;0.66474990;23.72;0.043396;0.011755
CW;95;270;-90.00;0.00;50;-0.43170000;0.66235000;23.63;0.039634;0.000413;-0.43249992;0.65219980;23.63;0.042031;0.012122
CW;96;337.5;-22.50;67.50;50;-0.43029990;0.66495000;23.58;0.035808;0.004197;-0.43155000;0.65280010;23.59;0.046462;0.006821
CW;97;22.5;22.50;45.00;50;-0.43760004;0.65694980;23.58;0.036628;0.008472;-0.41535004;0.65345000;23.62;0.047039;0.002859
CW;98;90;90.00;67.50;50;-0.43919984;0.67340010;23.63;0.042849;0.011597;-0.44534988;0.65795016;23.56;0.042483;0.000042
CW;99;157.5;157.50;67.50;50;-0.42824988;0.66755000;23.63;0.047175;0.006357;-0.43275000;0.65379990;23.64;0.037075;0.004265
CW;100;292.5;292.50;135.00;50;-0.43275000;0.64999990;23.62;0.039097;0.000527;-0.42344996;0.66565000;23.58;0.046958;0.011379
CW;101;67.5;67.50;67.50;50;-0.43285004;0.66960008;23.62;0.040205;0.011804;-0.42549990;0.66940010;23.60;0.042996;-0.000791
CW;102;90;90.00;22.50;50;-0.41969984;0.67125010;23.60;0.043594;0.011484;-0.43484984;0.66385008;23.57;0.042773;0.000500
